Processador,Processador (score),Placa de Vídeo,Placa de video (score),Memória de Vídeo (GB),RAM (GB),SSD (GB),HD (GB),Fonte (W),Preco (R$)
AMD Ryzen 5 5600X,21948.00,Quadro T1000,6542.00,8,16,240,2000,500,9773.55
AMD Ryzen 5 PRO 4650G,16320.00,Radeon HD 6570,504.00,4,16,960,0,500,5448.45
AMD Ryzen 5 PRO 4650G,16320.00,Radeon RX 6600,14496.00,8,8,240,0,400,4946.14
AMD Ryzen 5 PRO 4650G,16320.00,Radeon RX 6600,14496.00,8,8,240,0,400,4946.14
AMD Ryzen 5 PRO 4650G,16320.00,Radeon Vega 7,1299.00,2,16,0,1024,400,3294.17
AMD Ryzen 7 3700X,22696.00,GeForce GTX 1660 Super,12772.00,6,8,0,1000,500,5719.69
AMD Ryzen 7 3700X,22696.00,GeForce RTX 2060,13985.00,6,8,0,1000,600,6142.22
AMD Ryzen 7 3700X,22696.00,GeForce RTX 3060,17064.00,12,16,0,1000,600,7312.83
AMD Ryzen 7 3700X,22696.00,GeForce RTX 3070 TI,23677.00,8,16,480,0,650,8325.66
AMD Ryzen 7 3700X,22696.00,Radeon RX 6700 XT,19300.00,12,16,480,0,650,8209.74
AMD Ryzen 7 3800XT,23750.00,GeForce RTX 2060,13985.00,6,8,0,1000,600,6315.64
AMD Ryzen 7 3800XT,23750.00,GeForce RTX 3060,17064.00,12,16,480,0,650,7890.00
AMD Ryzen 7 3800XT,23750.00,GeForce RTX 3060 TI,20438.00,8,16,0,1000,650,7619.20
AMD Ryzen 7 3800XT,23750.00,GeForce RTX 3070 TI,23677.00,8,8,240,0,650,7972.14
AMD Ryzen 7 3800XT,23750.00,Radeon RX 6700 XT,19300.00,12,16,120,0,650,8130.32
AMD Ryzen 7 5700G,24562.00,GeForce GTX 1650,7820.00,4,8,240,0,500,4704.52
AMD Ryzen 7 5700G,24562.00,GeForce RTX 3060 TI,20438.00,8,16,480,0,750,6082.00
AMD Ryzen 7 5700G,24562.00,Radeon Vega 8,1588.00,4,8,120,0,500,4158.40
AMD Ryzen 7 5700G,24562.00,Radeon Vega 8,1588.00,4,8,256,0,500,4249.00
AMD Ryzen 7 5700G,24562.00,Radeon Vega 8,1588.00,4,16,0,1024,500,3579.26
AMD Ryzen 7 5700X,26687.00,GeForce GTX 1650,7820.00,4,8,240,0,500,4672.36
AMD Ryzen 7 5700X,26687.00,GeForce RTX 3050,12709.00,8,8,240,0,600,5999.99
AMD Ryzen 7 5700X,26687.00,GeForce RTX 3060,17064.00,12,16,960,0,650,6766.33
AMD Ryzen 7 5700X,26687.00,Radeon RX 550,2724.00,4,8,240,0,500,4604.73
AMD Ryzen 7 5700X,26687.00,Radeon RX 6400,6941.00,4,8,240,0,500,4459.41
AMD Ryzen 7 5700X,26687.00,Radeon RX 6500 XT,9278.00,4,8,240,0,500,3800.96
AMD Ryzen 7 5800X,28126.00,GeForce GTX 1660 Super,12772.00,6,16,240,0,650,4900.28
AMD Ryzen 7 5800X,28126.00,GeForce RTX 2060,13985.00,6,16,240,0,600,5213.22
AMD Ryzen 7 5800X,28126.00,GeForce RTX 3050,12709.00,8,16,480,0,600,6705.87
AMD Ryzen 7 5800X,28126.00,GeForce RTX 3060,17064.00,12,16,480,0,600,7529.40
AMD Ryzen 7 5800X,28126.00,GeForce RTX 3080,27295.00,10,16,240,0,600,9766.00
AMD Ryzen 7 5800X,28126.00,Radeon RX 6600,14496.00,8,8,240,0,500,6396.29
AMD Ryzen 7 5800X,28126.00,Radeon RX 6700 XT,19300.00,12,16,240,0,750,7121.00
AMD Ryzen 9 5900X,39296.00,GeForce GTX 1660 Super,12772.00,6,16,240,0,650,5615.28
AMD Ryzen 9 5900X,39296.00,GeForce RTX 2060,13985.00,6,16,240,0,600,6128.22
AMD Ryzen 9 5900X,39296.00,GeForce RTX 3060 TI,20438.00,8,16,240,0,650,7939.99
AMD Ryzen 9 5900X,39296.00,GeForce RTX 3070 TI,23677.00,8,32,960,0,750,8936.00
AMD Ryzen 9 5950X,45818.00,GeForce RTX 3060 TI,20438.00,8,16,240,0,650,6716.00
AMD Ryzen 9 5950X,45818.00,GeForce RTX 3070 TI,23677.00,8,16,960,0,750,9525.00
AMD Ryzen 9 5950X,45818.00,GeForce RTX 3080,27295.00,10,16,240,0,750,9987.56
AMD Ryzen 9 5950X,45818.00,GeForce RTX 3090,26717.00,24,16,960,0,850,7826.00
Intel Core i3 10° Gen,3977.00,GeForce GT 1030,2519.00,2,8,120,0,500,2868.00
Intel Core i3 10° Gen,3977.00,GeForce GT 210,98.00,1,8,0,1024,400,2174.55
Intel Core i3 10° Gen,3977.00,GeForce GTX 1060,10066.00,3,8,256,0,500,3670.44
Intel Core i3 10° Gen,3977.00,GeForce GTX 750 TI,3909.00,4,8,128,0,400,2761.35
Intel Core i3 10° Gen,3977.00,GeForce RTX 3070 TI,23677.00,8,8,240,0,650,2976.00
Intel Core i3 10° Gen,3977.00,Quadro T1000,6542.00,8,16,120,2000,500,7609.00
Intel Core i3 10° Gen,3977.00,Radeon HD 6570,504.00,4,16,0,500,500,3476.63
Intel Core i3 10° Gen,3977.00,Radeon R5 220,134.00,2,8,128,0,500,2191.43
Intel Core i3 10° Gen,3977.00,Radeon RX 560,3616.00,4,16,240,0,500,2300.51
Intel Core i3 10° Gen,3977.00,Radeon RX 6500 XT,9278.00,4,8,240,0,400,3189.75
Intel Core i3 10° Gen,3977.00,Radeon RX 6500 XT,9278.00,4,8,240,0,500,3526.29
Intel Core i3 10° Gen,3977.00,Radeon RX 6700 XT,19300.00,12,8,240,0,650,4189.98
Intel Core i3 12° Gen,14336.00,GeForce GT 1030,2519.00,2,8,240,0,500,2859.00
Intel Core i3 12° Gen,14336.00,GeForce GTX 1050 Ti,6297.00,4,8,240,0,500,3800.00
Intel Core i3 12° Gen,14336.00,GeForce GTX 1060,10066.00,3,8,256,0,500,3693.17
Intel Core i3 12° Gen,14336.00,Radeon RX 560,3616.00,4,16,240,0,500,2807.00
Intel Core i3 12° Gen,14336.00,Radeon RX 6500 XT,9278.00,4,8,240,0,500,3624.96
Intel Core i3 3° Gen,2235.00,GeForce GT 1030,2519.00,2,8,240,0,500,1486.00
Intel Core i3 3° Gen,2235.00,GeForce GTX 1050 Ti,6297.00,4,8,240,0,500,1889.00
Intel Core i3 3° Gen,2235.00,GeForce GTX 750 TI,3909.00,4,8,240,0,400,1752.56
Intel Core i3 3° Gen,2235.00,Radeon R5 220,134.00,2,8,240,0,500,1201.00
Intel Core i3 3° Gen,2235.00,Radeon RX 550,2724.00,4,8,240,0,500,1648.00
Intel Core i3 3° Gen,2235.00,Radeon RX 6400,6941.00,4,8,240,0,400,1975.00
Intel Core i5 10° Gen,6345.00,GeForce GT 1030,2519.00,2,8,120,0,500,3273.00
Intel Core i5 10° Gen,6345.00,GeForce GT 610,302.00,2,8,0,1024,500,2690.81
Intel Core i5 10° Gen,6345.00,GeForce GT 730,821.00,4,16,512,0,500,3838.60
Intel Core i5 10° Gen,6345.00,GeForce GTX 1050 Ti,6297.00,4,8,240,0,400,3716.00
Intel Core i5 10° Gen,6345.00,GeForce GTX 1650,7820.00,4,8,240,0,500,3636.35
Intel Core i5 10° Gen,6345.00,GeForce GTX 1650,7820.00,4,8,240,0,500,3977.17
Intel Core i5 10° Gen,6345.00,GeForce GTX 1650,7820.00,4,16,480,0,500,4055.65
Intel Core i5 10° Gen,6345.00,GeForce GTX 1650,7820.00,4,16,0,1024,500,4238.24
Intel Core i5 10° Gen,6345.00,GeForce GTX 1650,7820.00,4,16,120,1024,500,4238.24
Intel Core i5 10° Gen,6345.00,GeForce GTX 750 TI,3909.00,4,8,120,0,400,3397.70
Intel Core i5 10° Gen,6345.00,GeForce GTX 750 TI,3909.00,4,8,240,0,500,3108.00
Intel Core i5 10° Gen,6345.00,GeForce RTX 2060,13985.00,6,16,480,0,500,4738.62
Intel Core i5 10° Gen,6345.00,GeForce RTX 3050,12709.00,8,16,120,1024,750,6310.00
Intel Core i5 10° Gen,6345.00,GeForce RTX 3060,17064.00,12,16,240,0,600,6787.00
Intel Core i5 10° Gen,6345.00,GeForce RTX 3070 TI,23677.00,8,16,240,0,750,3753.90
Intel Core i5 10° Gen,6345.00,Quadro T1000,6542.00,8,16,120,2000,500,8101.00
Intel Core i5 10° Gen,6345.00,Radeon HD 6570,504.00,4,16,480,0,500,3913.00
Intel Core i5 10° Gen,6345.00,Radeon R5 220,134.00,2,8,120,0,500,2545.00
Intel Core i5 10° Gen,6345.00,Radeon RX 560,3616.00,4,16,240,0,500,2870.44
Intel Core i5 10° Gen,6345.00,Radeon RX 6500 XT,9278.00,4,16,240,0,500,4608.28
Intel Core i5 10° Gen,6345.00,Radeon RX 6600,14496.00,8,8,240,0,500,4785.51
Intel Core i5 10° Gen,6345.00,Radeon RX 6700 XT,19300.00,12,8,240,0,650,5230.00
Intel Core i5 11° Gen,10044.00,GeForce GTX 1060,10066.00,3,8,120,0,500,3728.40
Intel Core i5 11° Gen,10044.00,GeForce GTX 1650,7820.00,4,16,480,0,500,4336.30
Intel Core i5 11° Gen,10044.00,GeForce GTX 1650,7820.00,4,16,480,0,500,4929.00
Intel Core i5 11° Gen,10044.00,GeForce GTX 1660 Super,12772.00,6,16,0,500,750,4820.15
Intel Core i5 11° Gen,10044.00,GeForce RTX 2060,13985.00,6,8,256,0,500,4738.57
Intel Core i5 11° Gen,10044.00,GeForce RTX 3050,12709.00,8,8,240,0,650,4137.99
Intel Core i5 11° Gen,10044.00,Radeon RX 560,3616.00,4,16,240,0,500,2931.00
Intel Core i5 11° Gen,10044.00,Radeon RX 6600,14496.00,8,8,240,0,500,4976.37
Intel Core i5 11° Gen,10044.00,Radeon RX 6700 XT,19300.00,12,8,240,0,650,5560.75
Intel Core i5 12° Gen,27730.00,GeForce GT 1030,2519.00,2,8,240,0,500,3863.00
Intel Core i5 12° Gen,27730.00,GeForce GT 730,821.00,2,16,480,0,500,4321.55
